,names,state,males,females,lat,lng,total_deaths
0,"Abbeville, Louisiana",LA,1,0,29.9746502,-92.1342921,1
1,"Algiers, Louisiana",LA,2,0,29.9510514,-90.0810887765191,2
2,"Ascension Parish, Louisiana",LA,1,0,30.20465845,-90.88963010654159,1
3,"Avondale, Louisiana",LA,3,0,29.9129834,-90.2036869,3
4,"Baker, Louisiana",LA,1,0,30.5882429,-91.168163,1
5,"Baton Rouge, Louisiana",LA,46,8,30.4507462,-91.154551,54
6,"Bayou Vista, Louisiana",LA,1,1,30.2813059,-89.8175651,2
7,"Blanchard, Louisiana",LA,1,0,32.580983,-93.8926813,1
8,"Bossier City, Louisiana",LA,3,2,32.5064115,-93.65183813047341,5
9,"Bossier City , Louisiana",LA,1,0,32.5064115,-93.65183813047341,1
10,"Caddo Parish, Louisiana",LA,1,0,32.60755,-93.90238917826521,1
11,"Calcasieu Parish, Louisiana",LA,1,0,30.26537195,-93.3691697243836,1
12,"Carencro, Louisiana",LA,2,0,30.317144,-92.0490096,2
13,"Chalmette, Louisiana",LA,1,0,29.9427037,-89.9634017,1
14,"Charenton, Louisiana",LA,2,0,29.8815936,-91.5251127,2
15,"Covington, Louisiana",LA,1,0,30.4754702,-90.1009108,1
16,"Creston, Louisiana",LA,1,0,31.9759941,-93.049884,1
17,"Crowley, Louisiana",LA,1,0,30.2140928,-92.3745761,1
18,"DeRidder, Louisiana",LA,1,0,30.8463055,-93.2890528,1
19,"Denham Springs, Louisiana",LA,2,0,30.4868564,-90.9562125,2
20,"Donaldsonville, Louisiana",LA,2,0,30.1010324,-90.9928774,2
21,"Duson, Louisiana",LA,1,0,30.2357577,-92.1854035,1
22,"East Baton Rouge, Louisiana",LA,1,0,30.4143987,-91.1774318,1
23,"Ebarb, Louisiana",LA,1,0,31.635777,-93.648603,1
24,"Edgard, Louisiana",LA,1,0,30.0432578,-90.5600869,1
25,"Ferriday, Louisiana",LA,1,0,31.6301664,-91.5545649,1
26,"Garyville, Louisiana",LA,1,0,30.056035,-90.6192554,1
27,"Geismar, Louisiana",LA,1,0,30.2043633,-91.0226013,1
28,"Gentilly, Louisiana",LA,4,0,30.0156248,-90.0518356,4
29,"Gonzales, Louisiana",LA,1,0,30.2385294,-90.9200987,1
30,"Gray, Louisiana",LA,1,0,29.6977108,-90.786481,1
31,"Hammond, Louisiana",LA,3,1,30.5043583,-90.4611995,4
32,"Harahan, Louisiana",LA,1,0,29.9404826,-90.2031313,1
33,"Harvey, Louisiana",LA,10,0,29.9035387,-90.0772944,10
34,"Houma, Louisiana",LA,9,1,29.5957696,-90.7195348,10
35,"Jamestown, Louisiana",LA,1,0,32.3440452,-93.2118341,1
36,"Jeanerette, Louisiana",LA,1,0,29.9110378,-91.6634484,1
37,"Jefferson, Louisiana",LA,2,0,29.8502657,-90.1293894,2
38,"Jena, Louisiana",LA,1,0,31.6832271,-92.1337448,1
39,"Kenner, Louisiana",LA,7,0,29.9940924,-90.2417434,7
40,"Kentwood, Louisiana",LA,1,1,30.9382358,-90.5089843,2
41,"Krotz Springs, Louisiana",LA,1,0,30.5368592,-91.7528931,1
42,"LaFayette, Louisiana",LA,2,1,30.2240897,-92.0198427,3
43,"LaPlace, Louisiana",LA,5,1,30.0665907,-90.4800848,6
44,"Lafayette, Louisiana",LA,5,0,30.2240897,-92.0198427,5
45,"Lafayette Parish, Louisiana",LA,1,1,30.208284,-92.11207429099359,2
46,"Lafourche Parish, Louisiana",LA,1,0,29.50317955,-90.36353872460859,1
47,"Lake Charles, Louisiana",LA,5,0,30.2265949,-93.2173759,5
48,"Larose, Louisiana",LA,1,1,29.572438,-90.3817483,2
49,"Livingston Parish, Louisiana",LA,1,0,30.412795,-90.7410590657223,1
50,"Loranger, Louisiana",LA,1,1,30.6357439,-90.3981441,2
51,"Luling, Louisiana",LA,1,0,29.9321498,-90.3664695,1
52,"Mansfield, Louisiana",LA,1,0,32.0376629,-93.7001819,1
53,"Marrero, Louisiana",LA,9,1,29.8993723,-90.1003506,10
54,"Metairie, Louisiana",LA,6,3,30.00135175,-90.1767313475544,9
55,"Monroe, Louisiana",LA,2,0,32.5093109,-92.1193012,2
56,"Morgan City, Louisiana",LA,1,0,29.6993748,-91.20677,1
57,"Nairn, Louisiana",LA,1,0,29.4279955,-89.6108947,1
58,"New Orleans, Louisiana",LA,146,17,29.9499323,-90.0701156,163
59,"New Orleans , Louisiana",LA,1,0,29.9499323,-90.0701156,1
60,"Patterson, Louisiana",LA,1,1,29.6932642,-91.3020502,2
61,"Port Allen, Louisiana",LA,2,0,30.4521351,-91.2101081,2
62,"Prairieville, Louisiana",LA,2,0,30.3029721,-90.9720451,2
63,"Ragley, Louisiana",LA,1,0,30.512699,-93.2323813,1
64,"Reserve, Louisiana",LA,5,0,30.0538131,-90.5517534,5
65,"River Ridge, Louisiana",LA,3,0,29.9602043,-90.2156316,3
66,"Ruston, Louisiana",LA,1,0,32.5269104,-92.6463257,1
67,"Shreveport, Louisiana",LA,13,0,32.5221828,-93.7651944,13
68,"Slidell, Louisiana",LA,6,0,30.2751945,-89.7811745,6
69,"Sorrento, Louisiana",LA,1,0,30.1843642,-90.8592632,1
70,"St. Bernard, Louisiana",LA,1,0,29.8779823,-89.5969002,1
71,"St. Joseph, Louisiana",LA,2,0,31.9184926,-91.2334451,2
72,"St. Rose, Louisiana",LA,3,0,29.9468716,-90.3231349,3
73,"St. Tammany Parish, Louisiana",LA,1,0,30.4256963,-89.96205483993108,1
74,"Terrebonne, Louisiana",LA,1,0,29.4257758,-90.5674867,1
75,"Terrytown, Louisiana",LA,1,0,29.910205,-90.0325709,1
76,"Thibodaux, Louisiana",LA,2,0,29.7957633,-90.822871,2
77,"Varnado, Louisiana",LA,2,0,30.8937963,-89.8295203,2
78,"Ville Platte, Louisiana",LA,1,0,30.6879749,-92.2715157,1
79,"Violet, Louisiana",LA,1,0,29.8957605,-89.8978439,1
80,"Waggaman, Louisiana",LA,1,0,29.9185388,-90.2109093,1
81,"West Monroe, Louisiana",LA,1,1,32.5184775,-92.1476353,2
82,"Winnfield, Louisiana",LA,1,0,31.9254413,-92.6395932,1
83,"Winnsboro, Louisiana",LA,1,0,32.1632079,-91.720681,1
84,"Bridge City, Louisiana",LA,0,1,29.9332605,-90.1700748,1
85,"Franklinton, Louisiana",LA,0,1,30.8471283,-90.153141,1
86,"Jonesville, Louisiana",LA,0,1,31.6265595,-91.8181828,1
87,"Longville, Louisiana",LA,0,1,30.6051979,-93.2318269,1
88,"Many, Louisiana",LA,0,1,31.5687848,-93.4840645,1
89,"New Iberia, Louisiana",LA,0,1,30.0035365,-91.8187285,1
90,"Ponchatoula, Louisiana",LA,0,1,30.4388041,-90.4414762,1
91,"Slaughter, Louisiana",LA,0,1,30.7174063,-91.1414958,1
92,"St Joseph, Louisiana",LA,0,1,31.9184926,-91.2334451,1
93,"Abbeville, South Carolina",SC,2,0,34.1781719,-82.3790148,2
94,"Abbeville County, South Carolina",SC,1,0,34.2492945,-82.4732576974835,1
95,"Anderson, South Carolina",SC,4,2,34.5068601,-82.6506264,6
96,"Anderson County, South Carolina",SC,1,1,34.5153635,-82.6527126435937,2
97,"Beaufort, South Carolina",SC,2,0,32.3850708,-80.6923169,2
98,"Beech Island, South Carolina",SC,1,0,33.4273614,-81.8909473,1
99,"Belton, South Carolina",SC,2,1,34.5228881,-82.4942948,3
100,"Bennettsville, South Carolina",SC,3,0,34.6173803,-79.6847814,3
101,"Bishopville, South Carolina",SC,1,0,34.2182107,-80.2484056,1
102,"Blackville, South Carolina",SC,1,0,33.3579297,-81.2706606,1
103,"Burton, South Carolina",SC,1,0,32.4357843,-80.7242883,1
104,"Charleston, South Carolina",SC,8,0,32.7876012,-79.9402728,8
105,"Charleston County, South Carolina",SC,1,2,32.97595765,-79.5608142364772,3
106,"Chester, South Carolina",SC,2,0,34.5751447,-80.9019237,2
107,"Chester County, South Carolina",SC,1,0,34.6830445,-81.1656734367261,1
108,"Chesterfield, South Carolina",SC,1,0,32.7579551,-79.9914803,1
109,"Chesterfield County, South Carolina",SC,1,0,34.5934105,-80.0974157026473,1
110,"Colleton County, South Carolina",SC,2,0,32.7863418,-80.6535523313695,2
111,"Columbia, South Carolina",SC,20,7,34.0872775,-80.98114973525502,27
112,"Conway, South Carolina",SC,4,1,33.8360035,-79.0478143,5
113,"Conway , South Carolina",SC,1,0,33.8360035,-79.0478143,1
114,"Cottageville, South Carolina",SC,1,0,32.936838,-80.480935,1
115,"Dacusville, South Carolina",SC,1,1,34.9353949,-82.5587384,2
116,"Darlington, South Carolina",SC,1,0,34.2998762,-79.8761741,1
117,"Donalds, South Carolina",SC,2,0,34.3770591,-82.3473448,2
118,"Dorchester County, South Carolina",SC,1,1,33.07602025,-80.4273289918359,2
119,"Edgefield County, South Carolina",SC,1,0,33.7543985,-81.9496810525656,1
120,"Florence, South Carolina",SC,2,1,33.7846102,-79.4488454,3
121,"Fort Hill, South Carolina",SC,2,0,34.407373,-80.6475769,2
122,"Fountain Inn, South Carolina",SC,1,2,34.6890095,-82.1956679,3
123,"Friendship, South Carolina",SC,1,0,34.4984463,-82.3809556,1
124,"Gaffney, South Carolina",SC,2,1,35.0717945,-81.6498195,3
125,"Goose Creek, South Carolina",SC,2,1,33.0126515,-80.0327595151383,3
126,"Graniteville, South Carolina",SC,2,0,33.5637483,-81.8078887,2
127,"Greeleyville, South Carolina",SC,1,0,33.5809988,-79.9889654,1
128,"Greenville, South Carolina",SC,11,2,34.8512316,-82.3985105,13
129,"Greenville County, South Carolina",SC,1,1,34.8500365,-82.3485514374409,2
130,"Greenwood, South Carolina",SC,4,2,34.0420737,-81.9594608,6
131,"Greenwood County, South Carolina",SC,5,3,34.182129,-82.07935190959691,8
132,"Hanahan, South Carolina",SC,1,0,32.9138914,-80.0088359,1
133,"Hilton Head, South Carolina",SC,1,1,32.193817,-80.7381637,2
134,"Honea Path, South Carolina",SC,1,0,34.4465018,-82.3915122,1
135,"Irmo, South Carolina",SC,1,0,34.0859829,-81.1831513,1
136,"Jonesville, South Carolina",SC,1,1,32.7362873,-80.8159402,2
137,"Kershaw, South Carolina",SC,2,0,34.5518201,-80.5836836,2
138,"Kiawah Island, South Carolina",SC,1,1,32.6082373,-80.0848166,2
139,"Lamar, South Carolina",SC,1,0,34.1687661,-80.062568,1
140,"Lancaster, South Carolina",SC,3,2,34.630155,-80.4333021,5
141,"Latta, South Carolina",SC,1,0,34.3371047,-79.4311616,1
142,"Lexington, South Carolina",SC,3,0,33.9850175,-81.2234768415058,3
143,"Lexington County, South Carolina",SC,1,0,33.9250165,-81.28323148921699,1
144,"Loris, South Carolina",SC,1,0,34.0562812,-78.8903044,1
145,"Marion, South Carolina",SC,2,0,34.178216,-79.4006069,2
146,"Moncks Corner, South Carolina",SC,3,0,33.1960027,-80.0131374,3
147,"Mount Pleasant, South Carolina",SC,1,0,32.831845,-79.8858415819073,1
148,"Mt. Pleasant, South Carolina",SC,1,0,32.7940651,-79.8625851,1
149,"Myrtle Beach, South Carolina",SC,1,0,33.6955167,-78.8817622,1
150,"North Charleston, South Carolina",SC,10,1,32.939636,-80.0982102221675,11
151,"Orangeberg, South Carolina",SC,1,0,33.4273582,-80.2807457,1
152,"Orangeburg, South Carolina",SC,2,0,33.4273582,-80.2807457,2
153,"Pineville, South Carolina",SC,1,0,33.4282228,-80.0292462,1
154,"Ravenel, South Carolina",SC,1,0,32.7632321,-80.2500986,1
155,"Richland County, South Carolina",SC,5,2,33.8071004,-80.6372094,7
156,"Ridgeland, South Carolina",SC,1,0,32.4807435,-80.980386,1
157,"Ridgeville, South Carolina",SC,1,0,33.095723,-80.3153738,1
158,"Rock Hill, South Carolina",SC,4,1,34.9248667,-81.0250784,5
159,"Saluda, South Carolina",SC,1,0,34.074864,-81.4841699,1
160,"Saluda County, South Carolina",SC,1,1,34.0005725,-81.74923910080359,2
161,"Seneca, South Carolina",SC,1,1,34.6865321,-82.9527288,2
162,"Socastee, South Carolina",SC,1,1,33.683504,-78.9983676,2
163,"Spartanburg, South Carolina",SC,4,0,34.9498007,-81.9320157,4
164,"Spartanburg County, South Carolina",SC,1,0,34.888851,-81.9803047128018,1
165,"St George, South Carolina",SC,1,0,33.1859958,-80.5756534,1
166,"Sumter, South Carolina",SC,4,1,33.9679376,-79.9413592,5
167,"Turbeville, South Carolina",SC,1,0,33.8907158,-80.0184063,1
168,"Walterboro, South Carolina",SC,2,0,32.9051704,-80.6667688,2
169,"Wellford, South Carolina",SC,1,0,34.9509521,-82.1059416,1
170,"West Columbia, South Carolina",SC,1,1,33.984518,-81.09820720802921,2
171,"Westminster, South Carolina",SC,1,0,34.6648197,-83.0965425,1
172,"Williamston, South Carolina",SC,1,0,34.6184471,-82.4779053,1
173,"Woodruff, South Carolina",SC,1,0,34.7395701,-82.0370466,1
174,"York, South Carolina",SC,1,0,34.9943021,-81.2420175,1
175,"Andrews, South Carolina",SC,0,1,33.451278,-79.5608971,1
176,"Garden City, South Carolina",SC,0,1,33.5929472,-79.0086464,1
177,"Hartsville, South Carolina",SC,0,1,34.3740431,-80.0734005,1
178,"Hodges, South Carolina",SC,0,1,34.2875885,-82.2479312935603,1
179,"Horry County, South Carolina",SC,0,1,33.93569585,-78.97702634154571,1
180,"Iva, South Carolina",SC,0,2,34.3064967,-82.663743,2
181,"Johns Island, South Carolina",SC,0,1,32.7024009,-80.0481488,1
182,"Lancaster County, South Carolina",SC,0,1,34.76491,-80.69615487109691,1
183,"Little River, South Carolina",SC,0,1,33.8732279,-78.6141798,1
184,"Santee, South Carolina",SC,0,1,33.4751634,-80.4864764,1
185,"St. George, South Carolina",SC,0,1,33.1859958,-80.5756534,1
186,"Summerville, South Carolina",SC,0,1,32.9960965,-80.2021633056339,1
187,"Taylors, South Carolina",SC,0,1,34.9203946,-82.2962269,1
188,"Travelers Rest, South Carolina",SC,0,1,34.9676167,-82.4434548,1
189,"Wagener, South Carolina",SC,0,1,33.6523712,-81.3612142,1
190,"Aberdeen, Maryland",MD,1,0,39.5095556,-76.1641197,1
191,"Annapolis, Maryland",MD,4,0,38.9786401,-76.492786,4
192,"Aspen Hill, Maryland",MD,1,0,39.0794975,-77.0735251,1
193,"Baltimore, Maryland",MD,178,22,39.2909295,-76.6097684,200
194,"Baltimore County, Maryland",MD,1,0,39.2846027,-76.62047203423779,1
195,"Bel Air, Maryland",MD,1,0,39.5357481,-76.3484809,1
196,"Bowie, Maryland",MD,1,0,39.0067768,-76.7791365,1
197,"Brandywine, Maryland",MD,1,0,38.6967833,-76.8477485,1
198,"Calverton, Maryland",MD,1,0,39.0576091,-76.9358082,1
199,"Capitol Heights, Maryland",MD,3,0,38.8853963,-76.9159441,3
200,"Clinton, Maryland",MD,2,1,38.7651145,-76.8983059,3
201,"College Park, Maryland",MD,3,0,38.980666,-76.9369189,3
202,"Columbia, Maryland",MD,1,1,39.2151996,-76.8546725,2
203,"Delmar, Maryland",MD,1,0,38.4559497,-75.577425,1
204,"District Heights, Maryland",MD,2,0,38.8576128,-76.8894171,2
205,"Dundalk, Maryland",MD,1,1,39.2574114,-76.5236745,2
206,"Edgewood, Maryland",MD,2,0,39.4187194,-76.2944016,2
207,"Essex, Maryland",MD,1,0,39.3075143,-76.4788202,1
208,"Fairmount Heights, Maryland",MD,1,0,38.9009452,-76.9155291,1
209,"Forestville, Maryland",MD,5,0,38.8451131,-76.8749722,5
210,"Fort Washington, Maryland",MD,2,0,38.7073379,-77.0230314,2
211,"Frederick, Maryland",MD,1,0,39.414443,-77.4105783,1
212,"Frostburg, Maryland",MD,1,0,39.6581425,-78.928357,1
213,"Ft Washington, Maryland",MD,1,0,38.7073379,-77.0230314,1
214,"Gaithersburg, Maryland",MD,1,0,39.1434406,-77.2013705,1
215,"Germantown, Maryland",MD,2,2,39.1731621,-77.2716502,4
216,"Glen Burnie, Maryland",MD,6,1,39.1626298,-76.6250756,7
217,"Glenarden, Maryland",MD,1,0,38.9292782,-76.8616387,1
218,"Grasonville, Maryland",MD,1,0,38.9581686,-76.2102288,1
219,"Hagerstown, Maryland",MD,2,0,39.6419219,-77.7202641,2
220,"Hampstead, Maryland",MD,1,0,39.6048252,-76.8499775,1
221,"Harmans, Maryland",MD,1,0,39.1573304,-76.6966356,1
222,"Havre de Grace, Maryland",MD,1,0,39.5489964,-76.0914718,1
223,"Hickory, Maryland",MD,1,0,39.5787178,-76.3452374,1
224,"Hillcrest Heights, Maryland",MD,4,0,38.8328909,-76.9594189,4
225,"La Plata, Maryland",MD,1,0,38.5292877,-76.9752514,1
226,"Landover, Maryland",MD,2,0,38.9340002,-76.8966397,2
227,"Lansdowne, Maryland",MD,1,0,39.2451071,-76.660524,1
228,"Largo, Maryland",MD,1,0,38.8823465,-76.8286242874533,1
229,"Laurel, Maryland",MD,1,2,39.0992752,-76.8483061,3
230,"Lewisdale, Maryland",MD,1,0,38.9734438,-76.9738644,1
231,"Middle River, Maryland",MD,1,0,39.3342745,-76.4394057,1
232,"Millersville, Maryland",MD,1,0,39.0595542,-76.6480219,1
233,"New Market, Maryland",MD,2,1,39.3826031,-77.2694278,3
234,"North East, Maryland",MD,1,0,39.6001132,-75.9413327,1
235,"Ocean City, Maryland",MD,1,0,38.40678,-75.0618486,1
236,"Odenton, Maryland",MD,1,0,39.0837774,-76.7000224,1
237,"Oxon Hill, Maryland",MD,2,0,38.8035961,-76.9896573,2
238,"Port Deposit, Maryland",MD,2,0,39.6048327,-76.1152289,2
239,"Prince Frederick, Maryland",MD,2,0,38.5403996,-76.5844017,2
240,"Prince George's County, Maryland",MD,3,0,38.803929,-76.8518695,3
241,"Princess Anne, Maryland",MD,2,0,38.2028993,-75.692427,2
242,"Queen Anne's County, Maryland",MD,1,0,39.0326935,-76.03965855642879,1
243,"Rawlings, Maryland",MD,1,0,39.5345348,-78.8833562,1
244,"Reservoir Hill, Maryland",MD,1,0,39.3137013,-76.633292,1
245,"Rockville, Maryland",MD,1,0,39.0840054,-77.1527573,1
246,"Rodgers Forge, Maryland",MD,1,0,39.38056195,-76.6121453334987,1
247,"Rosedale, Maryland",MD,2,0,39.3201074,-76.5155191,2
248,"Salisbury, Maryland",MD,4,0,38.3662114,-75.6008881,4
249,"Seat Pleasant, Maryland",MD,2,0,38.8962231,-76.9066399,2
250,"Severn, Maryland",MD,1,0,39.1370528,-76.6983022,1
251,"Silver Spring, Maryland",MD,1,0,39.00884145,-77.0205440580873,1
252,"Spauldings, Maryland",MD,1,0,38.8534461,-76.9066397,1
253,"St. Mary's County, Maryland",MD,1,0,38.20161245,-76.5590579405692,1
254,"Suitland, Maryland",MD,1,0,38.848724,-76.9238625,1
255,"Takoma Park, Maryland",MD,2,0,38.9778882,-77.0074765,2
256,"Taneytown, Maryland",MD,1,0,39.6578773,-77.1744279,1
257,"Temple Hills, Maryland",MD,2,0,38.8140024,-76.9455296,2
258,"Timonium, Maryland",MD,1,0,39.4368436,-76.6187044,1
259,"Towson, Maryland",MD,1,0,39.4018565,-76.6023686,1
260,"Upper Marlboro, Maryland",MD,1,0,38.8162654,-76.7518462,1
261,"Waldorf, Maryland",MD,1,1,38.63501915,-76.9063116959882,2
262,"West Baltimore, Maryland",MD,1,0,39.2933208,-76.6531881,1
263,"Westminster, Maryland",MD,1,0,39.5752639,-76.9959277,1
264,"White Marsh, Maryland",MD,2,0,39.3837187,-76.4321837,2
265,"Williamsport, Maryland",MD,1,0,39.6006523,-77.8205508,1
266,"Windsor Mill, Maryland",MD,1,0,39.3328839,-76.7594179,1
267,"Elkton, Maryland",MD,0,1,39.6065545,-75.8158002333333,1
268,"Frederick County, Maryland",MD,0,1,39.4698212,-77.36798295505298,1
269,"Parkville, Maryland",MD,0,1,39.3773292,-76.5396875,1
270,"Aberdeen, North Carolina",NC,3,0,35.131547,-79.4294789,3
271,"Alamance County, North Carolina",NC,1,0,36.0431402,-79.4075384,1
272,"Albemarle, North Carolina",NC,1,0,35.3501426,-80.2000578,1
273,"Angier, North Carolina",NC,2,0,35.5071045,-78.7391813,2
274,"Anson County, North Carolina",NC,1,0,34.9705848,-80.0958187,1
275,"Arden, North Carolina",NC,1,1,35.4662258,-82.51651,2
276,"Asheville, North Carolina",NC,11,3,35.6009498,-82.5540161,14
277,"Beaufort, North Carolina",NC,1,0,34.7182174,-76.6638186,1
278,"Bessemer City, North Carolina",NC,1,0,35.2848579,-81.28397,1
279,"Beulaville, North Carolina",NC,1,0,34.9237763,-77.7738667,1
280,"Boger City, North Carolina",NC,1,0,35.4806895,-81.2134133,1
281,"Burnsville, North Carolina",NC,1,0,35.9173358,-82.300961,1
282,"Cabarrus County, North Carolina",NC,1,0,35.3568086,-80.4277412,1
283,"Caldwell County, North Carolina",NC,2,0,35.687914,-81.2020823560741,2
284,"Cameron, North Carolina",NC,1,0,35.3268226,-79.255303,1
285,"Candler, North Carolina",NC,2,0,35.536498,-82.692907,2
286,"Carolina Beach, North Carolina",NC,1,0,34.0351727,-77.8935966,1
287,"Carrboro, North Carolina",NC,1,0,35.9101438,-79.0752895,1
288,"Catawba, North Carolina",NC,1,1,35.5868015,-80.9594203,2
289,"Chadbourn, North Carolina",NC,1,0,34.3221129,-78.8269664,1
290,"Charleston, North Carolina",NC,2,1,36.1201561,-77.3755239,3
291,"Charlotte, North Carolina",NC,47,5,35.3314525,-80.9398554230769,52
292,"Charlotte-Mecklenburg, North Carolina",NC,2,0,35.2270869,-80.8431268,2
293,"Clayton, North Carolina",NC,1,0,35.650711,-78.4563914,1
294,"Clemmons, North Carolina",NC,1,1,36.0215258,-80.3819984,2
295,"Cleveland, North Carolina",NC,2,0,35.330702,-81.5507523,2
296,"Clinton, North Carolina",NC,1,0,34.9979453,-78.3233325,1
297,"Colington, North Carolina",NC,2,0,36.0079445,-75.7015657,2
298,"Concord, North Carolina",NC,5,1,35.4087517,-80.579511,6
299,"Conway, North Carolina",NC,1,0,36.4370974,-77.2288563,1
300,"Dobson, North Carolina",NC,1,0,36.3956891,-80.722567,1
301,"Durham, North Carolina",NC,28,2,35.9940329,-78.898619,30
302,"Eden, North Carolina",NC,1,0,36.4884715,-79.7667026,1
303,"Elizabeth City, North Carolina",NC,2,0,36.2946008,-76.2510461,2
304,"Erwin, North Carolina",NC,1,1,35.3268292,-78.676128,2
305,"Fairmont, North Carolina",NC,3,0,34.4968311,-79.114202,3
306,"Fayetteville, North Carolina",NC,27,6,35.0529931,-78.8787058,33
307,"Forest Hills, North Carolina",NC,1,0,35.6809727,-80.4753371,1
308,"Fort Bragg, North Carolina",NC,1,0,35.15383385,-79.13364761962099,1
309,"Fuquay-Varina, North Carolina",NC,1,0,35.5843235,-78.8000128,1
310,"Garner, North Carolina",NC,2,3,35.7112642,-78.6141709,5
311,"Garysburg, North Carolina",NC,1,0,36.450985,-77.5588661,1
312,"Gastonia, North Carolina",NC,2,1,35.262082,-81.1873005,3
313,"Gibsonville, North Carolina",NC,1,0,36.105691,-79.5422462,1
314,"Goldsboro, North Carolina",NC,5,0,35.3848841,-77.9927651,5
315,"Graham, North Carolina",NC,1,0,36.0690258,-79.4005756,1
316,"Greensboro, North Carolina",NC,14,7,36.0726355,-79.7919754,21
317,"Greenville, North Carolina",NC,5,1,35.612661,-77.3663538,6
318,"Harrisburg, North Carolina",NC,3,0,35.3237528,-80.6559017,3
319,"Henderson, North Carolina",NC,3,1,36.3295905,-78.3991638,4
320,"Hendersonville, North Carolina",NC,2,2,35.3187279,-82.4609528,4
321,"Hickory, North Carolina",NC,2,0,35.7331895,-81.3412006,2
322,"High Point, North Carolina",NC,2,1,35.9556924,-80.0053176,3
323,"Hoke County, North Carolina",NC,1,0,35.0271856,-79.2432785,1
324,"Hubert, North Carolina",NC,1,0,34.7137729,-77.2452328,1
325,"Jacksonville, North Carolina",NC,3,1,34.7540524,-77.4302415,4
326,"Johnston County, North Carolina",NC,1,0,35.5285816,-78.3768021,1
327,"Kingston, North Carolina",NC,1,0,35.9577741,-78.54359804876941,1
328,"Kinston, North Carolina",NC,3,0,35.2626635,-77.5816353,3
329,"Knightdale, North Carolina",NC,1,1,35.7878975,-78.4822938,2
330,"Laurinburg, North Carolina",NC,1,1,34.7740495,-79.4628248,2
331,"Lee County, North Carolina",NC,1,0,35.4579333,-79.0529768,1
332,"Leicester, North Carolina",NC,2,1,35.6551074,-82.6962438,3
333,"Lenoir County, North Carolina",NC,2,1,35.2590371,-77.6484879,3
334,"Lewisville, North Carolina",NC,1,0,36.0970819,-80.4192216,1
335,"Lexington, North Carolina",NC,1,0,35.8240265,-80.2533838,1
336,"Lillington, North Carolina",NC,2,0,35.399327,-78.8158528,2
337,"Louisburg, North Carolina",NC,1,2,36.0990393,-78.301106,3
338,"Lumberton, North Carolina",NC,11,3,34.6182199,-79.0086425,14
339,"Manteo, North Carolina",NC,1,0,35.9082257,-75.6757303,1
340,"Marion, North Carolina",NC,3,0,35.6840131,-82.0092745,3
341,"Matthews, North Carolina",NC,2,0,35.1168131,-80.7236804,2
342,"Maxton, North Carolina",NC,1,0,34.7351615,-79.3489317,1
343,"Mollie, North Carolina",NC,1,0,34.151281,-78.7405736,1
344,"Monroe, North Carolina",NC,2,0,35.0734275,-80.5654443615441,2
345,"Mooresboro, North Carolina",NC,1,0,35.2987362,-81.6989863,1
346,"Morganton, North Carolina",NC,1,0,35.7454071,-81.6848188,1
347,"Mount Holly, North Carolina",NC,2,0,35.2981943,-81.0159081,2
348,"Mt. Olive, North Carolina",NC,1,1,35.1965532,-78.0663788,2
349,"Nashville, North Carolina",NC,2,0,35.974598,-77.9655406,2
350,"New Bern, North Carolina",NC,1,0,35.1084931,-77.0441143,1
351,"New Hanover County, North Carolina",NC,1,0,34.224045,-77.8854204376062,1
352,"North Wilkesboro, North Carolina",NC,1,0,36.1584651,-81.1475841,1
353,"Northampton, North Carolina",NC,1,0,36.4168078,-77.3642227,1
354,"Oxford, North Carolina",NC,1,0,34.9704419,-78.9453056,1
355,"Parkton, North Carolina",NC,1,0,34.9026635,-79.0116971,1
356,"Pfafftown, North Carolina",NC,1,0,36.1526379,-80.3622753,1
357,"Pikeville, North Carolina",NC,1,0,35.497105,-77.9819312,1
358,"Pinetown, North Carolina",NC,1,0,35.6104408,-76.8613327,1
359,"Raeford, North Carolina",NC,1,0,34.9809996,-79.2241998,1
360,"Raleigh, North Carolina",NC,9,2,35.7803888,-78.6390587,11
361,"Reaford, North Carolina",NC,1,0,36.086735,-80.375444,1
362,"Reidsville, North Carolina",NC,1,0,36.3548586,-79.6644748,1
363,"Roanoke Island, North Carolina",NC,1,0,35.8826713,-75.6554512,1
364,"Roanoke Rapids, North Carolina",NC,1,0,36.4615395,-77.6541464,1
365,"Robeson County, North Carolina",NC,1,0,34.6485079,-79.0954942,1
366,"Rockingham, North Carolina",NC,1,0,36.3926798,-79.744144,1
367,"Rocky Mount, North Carolina",NC,1,2,35.9382104,-77.7905341,3
368,"Rural Hall, North Carolina",NC,1,0,36.2404158,-80.2933838,1
369,"Rutherford County, North Carolina",NC,1,0,35.393858,-81.9129139976011,1
370,"Rutherfordton, North Carolina",NC,1,1,35.3692877,-81.9567716,2
371,"Salisbury, North Carolina",NC,2,0,35.6709727,-80.4742261,2
372,"Sanford, North Carolina",NC,7,0,35.4798757,-79.1802994,7
373,"Scotland County, North Carolina",NC,1,1,34.834591,-79.48619214313379,2
374,"Shannon, North Carolina",NC,1,0,34.8479415,-79.1369782,1
375,"Shelby, North Carolina",NC,1,1,35.2923513,-81.5356463,2
376,"Smithfield, North Carolina",NC,2,0,35.5085717,-78.3392929,2
377,"Southern Pines, North Carolina",NC,4,0,35.1740471,-79.3922539,4
378,"Sparta, North Carolina",NC,1,0,36.5054071,-81.1209189,1
